,Label,Outcome
1250,Physical,diastolic SI
1249,Physical,blood loss and complication rates
1248,Physical,heterozygote rate
1230,Physical,smaller VLDL particles
1247,Physical,menopause-related quality of life
1245,Physical,detected
1244,Physical,postoperative lactic acidosis levels
1243,Physical,postoperative lactic acidosis levels
1242,Physical,cardiovascular events and cancer
1241,Physical,blood glucose and insulin
1240,Physical,NADPH
1239,Physical,A generalized and intense erythema in cervix
1238,Physical,toxic effect
1237,Physical,VLDL1-ApoB production rate
1236,Physical,lag time
1235,Physical,postoperative junctional ectopic tachycardia (JET)
1234,Physical,lower extremity joint mechanics
1233,Physical,ASSR and BIS
1232,Physical,effective dose
1246,Physical,Clinical Global Severity and Improvement Ratings
1196,Physical,systemic interleukin-6 (IL-6) levels
1195,Physical,diagnostic certainty
1194,Physical,biomarkers
1158,Physical,"heart failure, unstable angina, and revascularizations"
1157,Physical,leg problems
1156,Physical,"NRS of leg pain, ODI, patient global impression of change, range of motion (ROM) of the lumbar spine, and degrees of straight leg raising (SLR)"
1155,Physical,postoperative arrhythmia
1154,Physical,metabolic syndrome
1153,Physical,Genetic linkage disequilibrium
1152,Physical,cured microbiologically
1151,Physical,HA seroprotection rates
1150,Physical,"oxygen uptake, heart rate, timing parameters and stroke angles"
1149,Physical,clinical and osseous attachment levels
1148,Physical,position sense
1147,Physical,apoCIII and apoE in VLDL+LDL
1146,Physical,plasma concentration
1145,Physical,SH
1159,Physical,rates of heart failure and hospitalizations for heart failure
1144,Physical,17-OHP levels
1142,Physical,periprocedural myocardial infarctions
1141,Physical,duration of oronasal breathing (tON)
1140,Physical,total American Urological Association (AUA) symptom score and maximum urinary flow (Qmax)
1139,Physical,"number of hospitalizations, functional status and total medical cost at 3 months"
1138,Physical,clinically significant anemia
1137,Physical,CYP21 and other relevant markers
1136,Physical,side effects
1135,Physical,severity of a specific behavioral dimension
1134,Physical,gingival health
1133,Physical,leucine oxidation (LOX)
1132,Physical,bone mineralization and bone pathology
1131,Physical,AQ-J-10 ( consisting of 10 of the 21 items with an effect size > 0.17 )
1130,Physical,response rates
1129,Physical,expression of the CD40-ligand biomarker
1143,Physical,Stool fat (g/day)
1160,Physical,faster (slower) emptying
1161,Physical,6-minute walk test
1162,Physical,VBL and HBL gains
1193,Physical,Core temperature
1192,Physical,American Fertility Society (AFS) score reduction
1191,Physical,triacylglycerol levels
1190,Physical,Systolic blood pressure (BP)
1189,Physical,mild HPDD
1188,Physical,cancer deaths
1187,Physical,insulin responses
1186,Physical,cardiopulmonary bypass (CPB)
1185,Physical,initial rise in circulating cells after the first cycle
1184,Physical,reactionary post-tonsillectomy haemorrhage
1183,Physical,(repetitive behaviors) parallels the sensitivity
1182,Physical,blood pressure
1181,Physical,Circulating tumour cells
1180,Physical,wide range of 17-OHP levels
1179,Physical,stroke pattern
1178,Physical,diastolic sphericity index
1177,Physical,skin and soft-tissue infections
1163,Physical,effects of JET
1164,Physical,incremental glucose peak concentration
1165,Physical,"clinical, laboratory, or specific neurological testing variables"
1166,Physical,postprandial glucose
1167,Physical,relational interpretation of the equal sign
1168,Physical,peak systemic TNF levels
992,Physical,smoking cessation
1169,Physical,thermoregulatory effects
1171,Physical,mean blood pressure
1172,Physical,immuno-enhancement activities
1173,Physical,S-adenosylmethionine
1174,Physical,posttherapy revised AFS score
1175,Physical,Canada 's Guides to Physical Activity Healthy Eating
1176,Physical,diarrhea
1170,Physical,metabolic effects
991,Physical,Antidepressant response
990,Physical,A1C and FPG
989,Physical,Aberrant Behavior Checklist ratings
817,Physical,state and trait anxiety
816,Physical,risk of cancer
815,Physical,gastric ulcers
814,Physical,functional capacity
813,Physical,"birth weight, treatment with antibiotics, and the starting time of breast-feeding"
812,Physical,number of nodules
811,Physical,maintaining control of the trunk and preventing collapse
810,Physical,walking time
809,Physical,wound status
808,Physical,increase in k
807,Physical,Bifidobacterium longum
806,Physical,"cancer incidence, cancer deaths, and major cardiovascular events (myocardial infarction, stroke, and cardiovascular death)"
805,Physical,ventilation rate during oronasal breathing ( VE (ON) ); inhaled hydrogen ion concentration [H+]
804,Physical,propagation rates and higher maximum production
818,Physical,sodium metabolism
803,Physical,VLDL lipids
801,Physical,wheezing
800,Physical,Median PFS
799,Physical,"low operative weight, cardiopulmonary bypass (CPB) duration"
798,Physical,CO (2) excretion rate
797,Physical,hormonal profile during triptorelin therapy
796,Physical,treatment with antibiotics
795,Physical,weight loss
794,Physical,Bifidobacterium
793,Physical,salivary cortisol concentrations
792,Physical,risk of heart failure
791,Physical,non-oxidative leucine disposal (NOLD)
790,Physical,RR
789,Physical,residual mEGF levels
788,Physical,Drug effects
802,Physical,overall cecal mean insertion time
787,Physical,"calculating lag time, propagation rate, and maximum production of conjugated dienes"
819,Physical,abscess cavities
821,Physical,postprandial glucose and lipid response
851,Physical,optimal enhancement of abdominal organs and deep vessels
850,Physical,glucose-lowering effects
849,Physical,plasma levels of platelet factor 4 and aggregation responses to collagen and ADP
848,Physical,LDL resistance to oxidative modification
847,Physical,ethological playroom observation
846,Physical,SLR
845,Physical,Smoking cessation rates
844,Physical,Hypotension that required vasopressor support
843,Physical,activity interference from the Brief Fatigue Inventory
842,Physical,continuous glucose monitoring (CGM)
841,Physical,AUA symptom score
840,Physical,the severity of repetitive behaviors
839,Physical,volume of irrigation fluid
838,Physical,relative risk
820,Physical,lower extremity joint mechanics and muscle Electromyographic (EMG) patterns
837,Physical,symptomatic anemia
835,Physical,plasma and LDL alpha-tocopherol contents significantly and lengthened lag time
834,Physical,local control of tumor and survival
833,Physical,systemic toxicity
832,Physical,effect
831,Physical,form hypertension
830,Physical,severe hypoglycemia
829,Physical,cancer or major cardiovascular events
828,Physical,efficacy
827,Physical,ELF
826,Physical,VLDL2-ApoB
825,Physical,moment of support ( M (s) )
824,Physical,toxicities
823,Physical,Mean cardiac output
822,Physical,accumulate as much bone
836,Physical,radiolucent lines around the cup were correlated to later RSA results
786,Physical,cecal intubation times
785,Physical,No irritation or symptom
784,Physical,heterozygote
748,Physical,Stool fat (g/day) and CFA (%)
747,Physical,cancer
746,Physical,gastrointestinal function
745,Physical,Unconsciousness
744,Physical,Salivary cortisol
743,Physical,CO
742,Physical,Local and systemic safety profiles
741,Physical,muscle Electromyographic (EMG) patterns
740,Physical,surgical resection following radiotherapy failure
739,Physical,abnormal cytological examinations
738,Physical,comparable outcomes
737,Physical,"VLDL-cholesterol, VLDL-triglyceride, VLDL-apoB, apoCIII and apoE in VLDL+LDL and apoE in HDL"
736,Physical,LDL-cholesterol
735,Physical,conceptual understanding of the equal sign
749,Physical,success rate at 24 hours
734,Physical,reversal of unconsciousness
732,Physical,continuous abstinence rates
731,Physical,more persuasive effects on behavioral attitudes
730,Physical,systemic ventricular dysfunction and heart failure
729,Physical,Junctional ectopic tachycardia
728,Physical,time of maximal (13) CO (2) excretion rate ( t (max)
727,Physical,Incomplete colonoscopy
726,Physical,local control of tumor
725,Physical,Distinct lower extremity joint moment and power patterns
724,Physical,growth hormone response
723,Physical,triglyceride concentrations
722,Physical,vitality subscale
721,Physical,cecal intubation time
720,Physical,tolerated
719,Physical,core symptomatology
733,Physical,bioequivalent
750,Physical,Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC)
751,Physical,"VLDL, apolipoproteins B, CIII, and E"
752,Physical,plasma AA levels
783,Physical,Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) score
782,Physical,physostigmine-induced reversal of unconsciousness
781,Physical,arterial blood pressure and sodium metabolism
780,Physical,tumor regressed significantly
779,Physical,surgical complication rate. Serious late radiation toxicity
778,Physical,Basal levels of plasma B-TG and PF4
777,Physical,specificity and sensitivity
776,Physical,"safe, efficacious, and convenient"
775,Physical,CYP21 heterozygote frequency
774,Physical,ORR
773,Physical,success rate at 48 hours
772,Physical,cognitive and behavioral attitudes
771,Physical,signal-averaged electrocardiographic variables
770,Physical,"progression-free survival (PFS), overall survival (OS), and safety"
769,Physical,propagation rates
768,Physical,Recurrence-free survival
767,Physical,PD
753,Physical,overall survival
754,Physical,CD40-ligand biomarker
755,Physical,accumulate as much bone ash
756,Physical,'feeling warm and comfortable '
757,Physical,Homogenous enhancement of deep veins
758,Physical,median cortisol concentrations
852,Physical,basal diurnal and total secretion of salivary cortisol
759,Physical,IDL-ApoB
761,Physical,LDL oxidative susceptibility
762,Physical,volume reduction rate
763,Physical,NADH
764,Physical,Cytokine levels
765,Physical,cardiovascular events and cancer
766,Physical,reposition error
760,Physical,"volume of drained blood, transfusion requirements, knee motion or wound status"
717,Physical,adverse clinical and laboratory reactions
853,Physical,"heart failure, unstable angina, and revascularizations"
855,Physical,gastrointestinal function
954,Physical,chest sweating rate
953,Physical,FPG and A1C
952,Physical,"Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) function scale, walking speed, muscle torque, and knee reposition error"
951,Physical,Point-prevalence abstinence rates
950,Physical,nitrotyrosine
949,Physical,"primary end point was noninferiority of 9-month target vessel failure defined as cardiac death, myocardial infarction, or target vessel revascularization"
948,Physical,postprandial glucose and insulin responses
947,Physical,VLDL-cholesterol
946,Physical,segmented hypertrophy at the apical level
945,Physical,activity scores
944,Physical,incidence of rickets and tibial dyschondroplasia
943,Physical,"plasma LDL-cholesterol, triacylglycerol and total ApoB"
942,Physical,"Respiratory rate, heart rate, oxygen saturation and presence of cyanosis, wheezing, retractions"
941,Physical,sweating threshold
955,Physical,"B (the VLDL particle concentration), VLDL lipids"
940,Physical,severe hypoglycemia (SH)
938,Physical,Systemic leaks > or = 1%
937,Physical,hypoestrogenic state
936,Physical,signal-averaged electrocardiographic variables
935,Physical,high-sensitivity C-reactive protein
934,Physical,percent energy from fat
933,Physical,B-TG plasma levels
932,Physical,tumor shrinkage
931,Physical,maximum production of conjugated dienes
930,Physical,excretion rate
929,Physical,Plasma triglycerides
928,Physical,tibial dyschondroplasia
927,Physical,immediate postoperative serum lactic acid level
926,Physical,Signal-averaged electrocardiograms
925,Physical,Vital sign changes
939,Physical,maximum production
924,Physical,Parental Global Impressions-Revised
956,Physical,knee function scores
958,Physical,anxiety severity
988,Physical,ROM and SLR
987,Physical,plasma triacylglycerol
986,Physical,Tennessee Self-Concept Scale (TSCS)
985,Physical,rate of secondary hemorrhage
984,Physical,"cardiac death, myocardial infarction, target vessel revascularization, or stent thrombosis"
983,Physical,SH frequency
982,Physical,slower (faster) emptying
981,Physical,autism
980,Physical,smoking cessation
979,Physical,Central nervous system function
978,Physical,CD40-ligand levels
977,Physical,local relapse-free rate
976,Physical,lag time and slowed propagation rate
975,Physical,success rate
957,Physical,sitting balance
974,Physical,ROM
972,Physical,febrile neutropenia and grade 3/4 infections
971,Physical,severity of repetitive behaviors at baseline
970,Physical,effect of smoking
969,Physical,sumatriptan elicited GH response
968,Physical,Diurnal salivary cortisol rhythm
967,Physical,insulin incremental area under curve
